sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
永和,新北市,40,,良好,0.8,0.66,26,21.3,21,11,24,29.5,5.5,1,109,"2024/01/09 18:00:00",0.7,10.9,24,1,121.516306,25.017,70
竹山,南投縣,66,細懸浮微粒,普通,1.2,0.31,36.3,50.1,59,23,16.7,17.1,0.4,1.5,287,"2024/01/09 18:00:00",0.2,21.6,41,1,120.677306,23.756389,69
中壢,桃園市,52,二氧化氮,普通,2.1,0.86,18.6,18.6,22,17,32.8,50.6,17.7,1,2,"2024/01/09 18:00:00",0.6,15.2,26,2,121.221667,24.953278,68
三重,新北市,61,二氧化氮,普通,0.9,1.45,7.3,11.3,30,15,45.9,108.8,62.8,-,-,"2024/01/09 18:00:00",0.9,17.8,33,1,121.493806,25.072611,67
冬山,宜蘭縣,35,,良好,0.4,0.24,39.9,38.7,23,7,9.2,10.3,1.1,1.4,122,"2024/01/09 18:00:00",0.2,8,25,0,121.792928,24.632203,66
宜蘭,宜蘭縣,37,,良好,1.3,0.27,39.8,40.3,18,10,7.8,8.8,1,1.8,46,"2024/01/09 18:00:00",0.2,11.1,17,0,121.746394,24.747917,65
陽明,臺北市,37,,良好,0.6,0.21,39.9,40.6,3,8,1.6,2.4,0.8,,,"2024/01/09 18:00:00",0.2,6.6,5,0,121.529583,25.182722,64
花蓮,花蓮縣,41,,良好,0.7,0.32,42.5,44.2,21,11,8.6,9.3,0.7,1.6,60,"2024/01/09 18:00:00",0.2,8.4,17,0,121.599769,23.971306,63
臺東,臺東縣,38,,良好,1,0.26,46.1,41.4,20,13,5.4,6.5,1,2.7,24,"2024/01/09 18:00:00",0.2,10.6,19,1,121.15045,22.755358,62
恆春,屏東縣,41,,良好,0.2,0.19,50,44.6,16,7,0.3,1,0.6,3.9,31,"2024/01/09 18:00:00",0.2,3.9,10,0,120.788928,21.958069,61
潮州,屏東縣,57,細懸浮微粒,普通,,0.36,49.1,50.1,,18,,,,2,191,"2024/01/09 18:00:00",0.3,17.8,,1,120.561175,22.523108,60
